Date,Ball1,Ball2,Ball3,Ball4,Ball5,Star1,Star2
1607990400,9,13,21,29,35,1,2
1607644800,6,9,13,24,41,3,12
1607385600,1,4,21,24,46,2,12
1607040000,14,20,27,34,38,1,11
1606780800,14,20,29,47,49,4,12
1606435200,2,5,8,14,16,8,9
1606176000,25,33,38,42,50,8,12
1605830400,28,29,39,48,50,5,7
1605571200,16,19,25,30,44,2,6
1605225600,1,5,17,28,31,1,10
1604966400,3,19,29,32,38,5,12
1604620800,7,12,37,40,50,1,2
1604361600,5,7,18,20,30,6,7
1604016000,12,16,20,21,28,3,9
1603756800,13,15,28,32,44,3,12
1603407600,10,15,19,21,23,3,12
1603148400,5,6,15,37,42,3,4
1602802800,15,33,38,40,50,3,6
1602543600,5,14,38,41,46,1,10
1602198000,11,15,35,41,50,5,8
1601938800,4,21,36,41,47,9,11
1601593200,6,12,15,40,45,3,9
1601334000,4,14,16,41,44,11,12
1600988400,19,23,34,37,45,1,7
1600729200,16,25,28,39,40,1,6
1600383600,2,10,19,25,45,1,7
1600124400,16,20,25,30,38,6,8
1599778800,34,38,42,43,45,9,12
1599519600,2,9,31,35,41,9,12
1599174000,6,22,29,40,43,4,7
1598914800,4,8,10,33,46,8,11
1598569200,7,12,16,17,31,7,9
1598310000,7,18,30,37,39,8,10
1597964400,10,15,35,44,50,3,5
1597705200,6,12,17,34,42,5,12
1597359600,9,10,19,42,49,4,12
1597100400,8,13,14,42,50,3,9
1596754800,5,20,21,36,41,6,11
1596495600,1,2,5,15,42,5,8
1596150000,21,24,30,46,49,2,5
1595890800,9,13,15,17,34,2,7
1595545200,8,9,27,28,50,4,12
1595286000,14,15,24,29,42,2,4
1594940400,7,15,27,41,43,7,9
1594681200,11,22,30,37,47,9,10
1594335600,15,17,23,30,38,2,7
1594076400,12,16,23,33,41,8,10
1593730800,4,16,27,37,39,3,6
1593471600,1,6,11,28,42,2,10
1593126000,1,10,12,21,26,5,11
1592866800,2,12,19,46,49,1,8
1592521200,5,14,19,24,43,3,11
1592262000,4,9,11,17,39,2,10
1591916400,2,24,39,45,46,4,8
1591657200,5,15,27,36,46,2,8
